timestamp,robot_id,task_id,joint_id,motor_current_A,joint_temp_C,imu_vibration_g,position_error_mm,latency_ms,controller_fault_code,error_count,force_sensor_N,gripper_force_N,slip_detected,contact_instability,payload_kg,surface_type,floor_condition,lighting_lux,real_success,human_intervention
2024-01-15T08:00:00Z,ROBOT_A01,TASK_001,J1,4.2,38.1,0.021,0.45,8.3,0,0,52.1,18.3,0,0,2.5,smooth_metal,dry_level,520,1,0
2024-01-15T08:00:30Z,ROBOT_A01,TASK_001,J4,4.8,41.5,0.031,0.92,9.1,0,0,55.3,19.1,0,0,2.5,smooth_metal,dry_level,520,1,0
2024-01-15T08:01:00Z,ROBOT_A01,TASK_001,J1,5.1,39.2,0.038,1.12,10.2,0,0,58.7,20.5,0,0,2.5,smooth_metal,dry_level,520,1,0
2024-01-15T08:01:30Z,ROBOT_A01,TASK_001,J4,5.6,42.8,0.048,1.45,11.4,0,0,63.2,22.1,0,0,2.5,smooth_metal,dry_level,520,1,0
2024-01-15T08:02:00Z,ROBOT_A01,TASK_001,J4,6.2,44.1,0.062,1.88,12.8,0,1,71.4,24.7,0,0,2.5,smooth_metal,dry_level,520,1,0
2024-01-15T08:02:30Z,ROBOT_A01,TASK_001,J4,7.1,45.9,0.089,2.31,14.6,1,2,82.3,27.3,1,0,2.5,smooth_metal,dry_level,520,0,1
2024-01-15T08:03:00Z,ROBOT_A01,TASK_001,J4,6.8,44.7,0.071,2.18,13.9,0,1,78.9,26.1,0,0,2.5,smooth_metal,dry_level,520,1,0
2024-01-15T08:10:00Z,ROBOT_A01,TASK_002,J1,8.5,46.2,0.095,2.85,18.3,0,0,42.1,15.2,0,0,5.0,textured_plastic,damp_surface,480,1,0
2024-01-15T08:10:30Z,ROBOT_A01,TASK_002,J4,9.2,48.7,0.112,3.21,20.1,0,0,47.8,17.3,0,0,5.0,textured_plastic,damp_surface,480,1,0
2024-01-15T08:11:00Z,ROBOT_A01,TASK_002,J4,10.1,50.3,0.138,3.68,22.4,0,1,55.6,20.8,0,1,5.0,textured_plastic,damp_surface,480,1,0
2024-01-15T08:11:30Z,ROBOT_A01,TASK_002,J4,11.3,52.8,0.171,4.15,25.2,1,2,64.3,24.1,1,1,5.0,textured_plastic,damp_surface,480,0,1
2024-01-15T08:12:00Z,ROBOT_A01,TASK_002,J4,10.7,51.4,0.152,3.92,23.8,0,1,59.7,22.5,0,0,5.0,textured_plastic,damp_surface,480,1,0
2024-01-15T08:12:30Z,ROBOT_A01,TASK_002,J1,9.8,49.6,0.128,3.44,21.7,0,0,54.2,19.8,0,0,5.0,textured_plastic,damp_surface,480,1,0
2024-01-15T08:13:00Z,ROBOT_A01,TASK_002,J4,10.5,51.1,0.145,3.77,24.1,0,1,61.1,23.0,0,0,5.0,textured_plastic,damp_surface,480,1,0
2024-01-15T08:20:00Z,ROBOT_A01,TASK_003,J1,3.1,36.4,0.015,0.28,6.7,0,0,35.2,38.7,0,0,0.5,precision_glass,dry_level,620,1,0
2024-01-15T08:20:30Z,ROBOT_A01,TASK_003,J1,3.4,37.1,0.018,0.32,7.2,0,0,38.1,41.2,0,0,0.5,precision_glass,dry_level,620,1,0
2024-01-15T08:21:00Z,ROBOT_A01,TASK_003,J4,4.1,39.5,0.028,0.58,8.9,0,0,45.3,48.6,0,0,0.5,precision_glass,dry_level,620,1,0
2024-01-15T08:21:30Z,ROBOT_A01,TASK_003,J4,4.7,41.2,0.039,0.81,10.1,0,0,51.2,54.3,1,0,0.5,precision_glass,dry_level,620,0,0
2024-01-15T08:22:00Z,ROBOT_A01,TASK_003,J1,3.8,38.3,0.025,0.61,8.5,0,0,42.7,45.8,0,0,0.5,precision_glass,dry_level,620,1,0
2024-01-15T08:22:30Z,ROBOT_A01,TASK_003,J4,4.4,40.1,0.034,0.72,9.4,0,0,48.8,51.9,0,0,0.5,precision_glass,dry_level,620,1,0
2024-01-15T08:23:00Z,ROBOT_A01,TASK_003,J4,5.2,42.7,0.055,1.03,11.8,0,1,58.4,62.1,0,0,0.5,precision_glass,dry_level,620,1,0
2024-01-15T08:23:30Z,ROBOT_A01,TASK_003,J6,3.6,37.8,0.022,0.41,7.8,0,0,39.6,42.8,0,0,0.5,precision_glass,dry_level,620,1,0
