timestamp,battery_soc_pct,bus_voltage_V,panel_current_A,temperature_C,attitude_error_deg,comms_snr_dB,fault_flag,payload_current_A,gyro_drift_deg_s
2026-06-01T00:00:00,95.57,23.86,1.956,27.7,0.105,19.92,0,0.445,0.0075
2026-06-01T00:30:00,91.09,23.65,0.052,14.97,0.077,20.68,0,0.469,0.008
2026-06-01T01:00:00,87.19,23.34,0.087,18.13,0.151,21.35,0,0.41,0.0088
2026-06-01T01:30:00,95.47,23.76,2.068,28.99,0.094,19.64,0,0.443,0.007
2026-06-01T02:00:00,100.0,24.1,2.056,29.75,0.001,22.43,0,0.437,0.0103
2026-06-01T02:30:00,95.76,23.73,0.088,16.44,0.103,22.44,0,0.467,0.0091
2026-06-01T03:00:00,100.0,23.94,1.976,29.83,0.115,20.64,0,0.49,0.0033
2026-06-01T03:30:00,100.0,23.99,2.03,27.72,0.152,21.16,0,0.431,0.0105
2026-06-01T04:00:00,95.59,23.87,0.036,16.6,0.123,20.67,0,0.441,0.0058
2026-06-01T04:30:00,100.0,23.98,2.252,30.5,0.103,20.66,0,0.436,0.0098
2026-06-01T05:00:00,100.0,23.99,2.084,26.72,0.179,21.64,0,0.478,0.0083
2026-06-01T05:30:00,95.85,23.8,0.058,13.0,0.128,22.01,0,0.422,0.0073
2026-06-01T06:00:00,100.0,24.0,2.059,28.86,0.116,21.43,0,0.458,0.0094
2026-06-01T06:30:00,100.0,23.89,2.017,28.18,0.091,21.59,0,0.465,0.0076
2026-06-01T07:00:00,95.96,23.81,0.065,13.73,0.111,21.26,0,0.412,0.007
2026-06-01T07:30:00,91.67,23.66,0.049,15.65,0.121,20.88,0,0.435,0.0057
2026-06-01T08:00:00,99.57,23.93,2.028,27.4,0.026,22.5,0,0.464,0.008
2026-06-01T08:30:00,95.2,23.84,0.046,14.76,0.105,21.12,0,0.445,0.0054
2026-06-01T09:00:00,90.53,23.59,0.023,16.74,0.135,20.49,0,0.47,0.0065
2026-06-01T09:30:00,98.44,23.94,2.05,27.54,0.127,20.18,0,0.484,0.0067
2026-06-01T10:00:00,100.0,23.93,2.048,26.93,0.103,20.31,0,0.448,0.0058
2026-06-01T10:30:00,95.88,23.82,0.068,16.17,0.102,22.68,0,0.428,0.0077
2026-06-01T11:00:00,100.0,24.01,1.969,29.15,0.054,21.43,0,0.457,0.0102
2026-06-01T11:30:00,100.0,23.96,2.116,28.68,0.099,22.48,0,0.473,0.0059
2026-06-01T12:00:00,95.82,23.83,0.084,13.94,0.065,20.22,0,0.454,0.0086
2026-06-01T12:30:00,100.0,24.02,2.019,28.71,0.135,20.83,0,0.473,0.0098
2026-06-01T13:00:00,100.0,24.05,1.958,27.76,0.15,20.86,0,0.44,0.0062
2026-06-01T13:30:00,95.85,23.82,0.089,14.85,0.076,21.08,0,0.453,0.0096
2026-06-01T14:00:00,100.0,23.96,2.042,28.04,0.116,21.5,0,0.446,0.0073
2026-06-01T14:30:00,100.0,24.05,2.037,28.98,0.184,20.63,0,0.456,0.0069
2026-06-01T15:00:00,95.52,23.77,0.054,14.74,0.05,21.4,0,0.471,0.0095
2026-06-01T15:30:00,91.26,23.7,0.081,13.89,0.149,22.28,0,0.463,0.0046
2026-06-01T16:00:00,99.03,24.0,2.008,30.06,0.106,20.32,0,0.465,0.0065
2026-06-01T16:30:00,94.9,23.71,0.09,14.73,0.122,21.02,0,0.45,0.0093
2026-06-01T17:00:00,90.65,23.57,0.07,15.07,0.122,20.52,0,0.45,0.0102
2026-06-01T17:30:00,100.0,24.02,2.262,28.11,0.074,22.7,0,0.466,0.0073
2026-06-01T18:00:00,100.0,24.05,2.043,27.15,0.109,21.42,0,0.487,0.0097
2026-06-01T18:30:00,95.57,23.75,0.022,15.3,0.079,21.74,0,0.43,0.0119
2026-06-01T19:00:00,100.0,24.0,2.146,28.6,0.046,22.62,0,0.432,0.0085
2026-06-01T19:30:00,100.0,24.01,2.167,30.09,0.117,20.23,0,0.475,0.0081
2026-06-01T20:00:00,95.58,23.92,0.059,12.78,0.1,20.64,0,0.467,0.0085
2026-06-01T20:30:00,100.0,23.92,2.173,28.27,0.142,20.22,0,0.484,0.0095
2026-06-01T21:00:00,100.0,24.02,2.141,24.52,0.068,21.54,0,0.48,0.0074
2026-06-01T21:30:00,95.48,23.76,0.052,15.21,0.13,19.4,0,0.475,0.0083
2026-06-01T22:00:00,100.0,24.11,2.079,26.95,0.122,20.3,0,0.436,0.006
2026-06-01T22:30:00,100.0,23.99,2.114,28.93,0.095,22.13,0,0.473,0.0084
2026-06-01T23:00:00,95.63,23.85,0.065,15.17,0.088,21.42,0,0.465,0.0072
2026-06-01T23:30:00,91.49,23.7,0.086,14.15,0.116,19.79,0,0.449,0.0067
2026-06-02T00:00:00,100.0,23.89,2.197,27.27,0.093,20.64,0,0.455,0.0048
2026-06-02T00:30:00,95.3,23.79,0.031,16.13,0.118,20.35,0,0.483,0.0082
2026-06-02T01:00:00,91.15,23.65,0.061,14.97,0.105,20.79,0,0.427,0.0069
2026-06-02T01:30:00,99.68,24.03,2.095,28.42,0.098,20.92,0,0.43,0.0086
2026-06-02T02:00:00,100.0,24.03,2.098,30.58,0.16,21.21,0,0.439,0.0072
2026-06-02T02:30:00,96.06,23.86,0.126,13.73,0.104,20.75,0,0.457,0.0067
2026-06-02T03:00:00,100.0,24.0,2.093,28.06,0.041,22.07,0,0.453,0.0063
2026-06-02T03:30:00,100.0,24.02,2.084,28.46,0.09,20.87,0,0.417,0.0067
2026-06-02T04:00:00,95.96,23.78,0.089,13.81,0.101,20.89,0,0.436,0.0078
2026-06-02T04:30:00,100.0,24.09,2.12,27.1,0.091,21.04,0,0.476,0.01
2026-06-02T05:00:00,100.0,23.99,2.226,28.35,0.069,21.37,0,0.469,0.0081
2026-06-02T05:30:00,95.58,23.88,0.044,14.35,0.109,20.98,0,0.452,0.004
2026-06-02T06:00:00,100.0,23.91,2.157,28.48,0.103,21.53,0,0.424,0.0087
