wafer_id,lot_id,site,target_cd_nm,cd_nm,thickness_nm,uniformity_pct
W001,L1021,CENTER,65.0,64.96,119.91,1.46
W001,L1021,N,65.0,65.21,119.94,0.9
W001,L1021,S,65.0,65.1,119.87,1.41
W001,L1021,E,65.0,65.03,120.12,1.97
W001,L1021,W,65.0,65.2,120.06,1.2
W002,L1021,CENTER,65.0,64.7,120.12,2.02
W002,L1021,N,65.0,65.01,119.95,1.71
W002,L1021,S,65.0,64.56,119.84,1.7
W002,L1021,E,65.0,65.26,119.88,1.65
W002,L1021,W,65.0,65.07,120.39,1.05
W003,L1021,CENTER,65.0,65.17,119.24,0.45
W003,L1021,N,65.0,64.82,119.54,1.85
W003,L1021,S,65.0,65.2,119.39,1.84
W003,L1021,E,65.0,64.7,119.96,1.38
W003,L1021,W,65.0,65.03,120.41,1.76
W004,L1021,CENTER,65.0,65.1,120.32,1.69
W004,L1021,N,65.0,64.81,119.64,1.31
W004,L1021,S,65.0,65.15,119.87,2.43
W004,L1021,E,65.0,64.75,119.45,1.81
W004,L1021,W,65.0,65.43,120.25,1.83
W005,L1021,CENTER,65.0,65.43,119.95,0.93
W005,L1021,N,65.0,64.84,120.48,0.92
W005,L1021,S,65.0,65.01,120.13,1.37
W005,L1021,E,65.0,65.22,120.29,2.43
W005,L1021,W,65.0,65.19,119.7,1.28
W006,L1022,CENTER,65.0,64.75,120.48,1.27
W006,L1022,N,65.0,64.98,120.37,1.21
W006,L1022,S,65.0,64.91,119.08,1.07
W006,L1022,E,65.0,64.83,120.21,1.98
W006,L1022,W,65.0,64.99,120.13,1.57
W007,L1022,CENTER,65.0,65.33,120.45,1.61
W007,L1022,N,65.0,64.7,120.45,1.65
W007,L1022,S,65.0,65.37,119.99,2.28
W007,L1022,E,65.0,64.89,120.8,1.55
W007,L1022,W,65.0,64.85,119.44,1.44
W008,L1022,CENTER,65.0,65.43,120.41,1.78
W008,L1022,N,65.0,64.29,120.36,1.72
W008,L1022,S,65.0,64.84,119.69,1.5
W008,L1022,E,65.0,65.52,119.47,1.33
W008,L1022,W,65.0,65.41,119.78,1.35
W009,L1022,CENTER,65.0,65.03,119.38,1.59
W009,L1022,N,65.0,64.64,120.44,1.5
W009,L1022,S,65.0,65.69,120.14,2.05
W009,L1022,E,65.0,64.61,119.94,1.63
W009,L1022,W,65.0,65.52,119.16,1.9
W010,L1022,CENTER,65.0,65.18,120.77,1.78
W010,L1022,N,65.0,65.02,119.74,1.0
W010,L1022,S,65.0,65.06,119.9,2.31
W010,L1022,E,65.0,64.82,120.16,0.87
W010,L1022,W,65.0,64.88,120.13,1.83
W011,L1023,CENTER,65.0,65.43,119.98,1.05
W011,L1023,N,65.0,65.14,120.26,1.7
W011,L1023,S,65.0,64.79,120.57,1.54
W011,L1023,E,65.0,65.21,120.64,1.74
W011,L1023,W,65.0,65.09,121.08,1.6
W012,L1023,CENTER,65.0,64.91,120.06,2.09
W012,L1023,N,65.0,65.04,120.26,1.98
W012,L1023,S,65.0,64.85,119.14,1.62
