wafer_id,lot_id,die_row,die_col,bin_result,bin_code
W001,L1021,0,0,PASS,1
W001,L1021,0,1,PASS,1
W001,L1021,0,2,PASS,1
W001,L1021,0,3,PASS,1
W001,L1021,0,4,PASS,1
W001,L1021,1,0,PASS,1
W001,L1021,1,1,PASS,1
W001,L1021,1,2,PASS,1
W001,L1021,1,3,PASS,1
W001,L1021,1,4,PASS,1
W001,L1021,2,0,PASS,1
W001,L1021,2,1,PASS,1
W001,L1021,2,2,PASS,1
W001,L1021,2,3,PASS,1
W001,L1021,2,4,PASS,1
W001,L1021,3,0,PASS,1
W001,L1021,3,1,PASS,1
W001,L1021,3,2,PASS,1
W001,L1021,3,3,PASS,1
W001,L1021,3,4,FAIL,3
W001,L1021,4,0,PASS,1
W001,L1021,4,1,PASS,1
W001,L1021,4,2,PASS,1
W001,L1021,4,3,PASS,1
W001,L1021,4,4,PASS,1
W002,L1021,0,0,PASS,1
W002,L1021,0,1,PASS,1
W002,L1021,0,2,PASS,1
W002,L1021,0,3,PASS,1
W002,L1021,0,4,PASS,1
W002,L1021,1,0,PASS,1
W002,L1021,1,1,PASS,1
W002,L1021,1,2,PASS,1
W002,L1021,1,3,PASS,1
W002,L1021,1,4,PASS,1
W002,L1021,2,0,PASS,1
W002,L1021,2,1,PASS,1
W002,L1021,2,2,PASS,1
W002,L1021,2,3,PASS,1
W002,L1021,2,4,PASS,1
W002,L1021,3,0,PASS,1
W002,L1021,3,1,PASS,1
W002,L1021,3,2,PASS,1
W002,L1021,3,3,PASS,1
W002,L1021,3,4,PASS,1
W002,L1021,4,0,PASS,1
W002,L1021,4,1,PASS,1
W002,L1021,4,2,PASS,1
W002,L1021,4,3,PASS,1
W002,L1021,4,4,PASS,1
W003,L1021,0,0,PASS,1
W003,L1021,0,1,PASS,1
W003,L1021,0,2,PASS,1
W003,L1021,0,3,PASS,1
W003,L1021,0,4,PASS,1
W003,L1021,1,0,PASS,1
W003,L1021,1,1,PASS,1
W003,L1021,1,2,PASS,1
W003,L1021,1,3,PASS,1
W003,L1021,1,4,PASS,1
W003,L1021,2,0,PASS,1
W003,L1021,2,1,PASS,1
W003,L1021,2,2,PASS,1
W003,L1021,2,3,PASS,1
W003,L1021,2,4,PASS,1
W003,L1021,3,0,PASS,1
W003,L1021,3,1,PASS,1
W003,L1021,3,2,PASS,1
W003,L1021,3,3,PASS,1
W003,L1021,3,4,PASS,1
W003,L1021,4,0,PASS,1
W003,L1021,4,1,PASS,1
W003,L1021,4,2,PASS,1
W003,L1021,4,3,PASS,1
W003,L1021,4,4,PASS,1
W004,L1021,0,0,PASS,1
W004,L1021,0,1,PASS,1
W004,L1021,0,2,PASS,1
W004,L1021,0,3,PASS,1
W004,L1021,0,4,PASS,1
W004,L1021,1,0,PASS,1
W004,L1021,1,1,PASS,1
W004,L1021,1,2,PASS,1
W004,L1021,1,3,PASS,1
W004,L1021,1,4,PASS,1
W004,L1021,2,0,PASS,1
W004,L1021,2,1,PASS,1
W004,L1021,2,2,PASS,1
W004,L1021,2,3,PASS,1
W004,L1021,2,4,PASS,1
W004,L1021,3,0,PASS,1
W004,L1021,3,1,PASS,1
W004,L1021,3,2,PASS,1
W004,L1021,3,3,PASS,1
W004,L1021,3,4,PASS,1
W004,L1021,4,0,PASS,1
W004,L1021,4,1,PASS,1
W004,L1021,4,2,PASS,1
W004,L1021,4,3,PASS,1
W004,L1021,4,4,FAIL,5
W005,L1021,0,0,PASS,1
W005,L1021,0,1,PASS,1
W005,L1021,0,2,PASS,1
W005,L1021,0,3,PASS,1
W005,L1021,0,4,PASS,1
W005,L1021,1,0,PASS,1
W005,L1021,1,1,PASS,1
W005,L1021,1,2,FAIL,5
W005,L1021,1,3,PASS,1
W005,L1021,1,4,PASS,1
W005,L1021,2,0,PASS,1
W005,L1021,2,1,PASS,1
W005,L1021,2,2,PASS,1
W005,L1021,2,3,PASS,1
W005,L1021,2,4,PASS,1
W005,L1021,3,0,PASS,1
W005,L1021,3,1,PASS,1
W005,L1021,3,2,PASS,1
W005,L1021,3,3,PASS,1
W005,L1021,3,4,PASS,1
W005,L1021,4,0,PASS,1
W005,L1021,4,1,PASS,1
W005,L1021,4,2,FAIL,4
W005,L1021,4,3,PASS,1
W005,L1021,4,4,PASS,1
W006,L1022,0,0,PASS,1
W006,L1022,0,1,PASS,1
W006,L1022,0,2,PASS,1
W006,L1022,0,3,PASS,1
W006,L1022,0,4,PASS,1
W006,L1022,1,0,PASS,1
W006,L1022,1,1,PASS,1
W006,L1022,1,2,PASS,1
W006,L1022,1,3,PASS,1
W006,L1022,1,4,PASS,1
W006,L1022,2,0,PASS,1
W006,L1022,2,1,PASS,1
W006,L1022,2,2,PASS,1
W006,L1022,2,3,PASS,1
W006,L1022,2,4,PASS,1
W006,L1022,3,0,PASS,1
W006,L1022,3,1,PASS,1
W006,L1022,3,2,PASS,1
W006,L1022,3,3,PASS,1
W006,L1022,3,4,PASS,1
W006,L1022,4,0,PASS,1
W006,L1022,4,1,PASS,1
W006,L1022,4,2,PASS,1
W006,L1022,4,3,PASS,1
W006,L1022,4,4,PASS,1
W007,L1022,0,0,PASS,1
W007,L1022,0,1,PASS,1
W007,L1022,0,2,PASS,1
W007,L1022,0,3,PASS,1
W007,L1022,0,4,PASS,1
W007,L1022,1,0,PASS,1
W007,L1022,1,1,PASS,1
W007,L1022,1,2,FAIL,5
W007,L1022,1,3,PASS,1
W007,L1022,1,4,PASS,1
W007,L1022,2,0,PASS,1
W007,L1022,2,1,PASS,1
W007,L1022,2,2,PASS,1
W007,L1022,2,3,PASS,1
W007,L1022,2,4,PASS,1
W007,L1022,3,0,PASS,1
W007,L1022,3,1,PASS,1
W007,L1022,3,2,PASS,1
W007,L1022,3,3,PASS,1
W007,L1022,3,4,PASS,1
W007,L1022,4,0,PASS,1
W007,L1022,4,1,PASS,1
W007,L1022,4,2,PASS,1
W007,L1022,4,3,PASS,1
W007,L1022,4,4,PASS,1
W008,L1022,0,0,PASS,1
