wafer_id,lot_id,die_row,die_col,bin_result,bin_code
W01,L1024,0,0,PASS,1
W01,L1024,0,1,PASS,1
W01,L1024,0,2,FAIL,3
W01,L1024,1,0,PASS,1
W01,L1024,1,1,FAIL,4
W01,L1024,1,2,PASS,1
W01,L1024,2,0,PASS,1
W01,L1024,2,1,PASS,1
W01,L1024,2,2,FAIL,3
W02,L1024,0,0,PASS,1
W02,L1024,0,1,PASS,1
W02,L1024,0,2,PASS,1
W02,L1024,1,0,FAIL,4
W02,L1024,1,1,PASS,1
W02,L1024,1,2,FAIL,3
W02,L1024,2,0,PASS,1
W02,L1024,2,1,FAIL,5
W02,L1024,2,2,PASS,1
W03,L1024,0,0,PASS,1
W03,L1024,0,1,PASS,1
W03,L1024,0,2,PASS,1
W03,L1024,1,0,PASS,1
W03,L1024,1,1,PASS,1
W03,L1024,1,2,PASS,1
W03,L1024,2,0,PASS,1
W03,L1024,2,1,PASS,1
W03,L1024,2,2,PASS,1
