timestamp,robot_id,task_id,motor_current_A,joint_temp_C,imu_vibration_g,position_error_mm,joint_position_error_mm,latency_ms,error_count,controller_fault_code,joint_torque_Nm,force_sensor_N,gripper_force_N,slip_detected,contact_instability,payload_kg,surface_type,floor_condition,lighting_lux,fault_code,real_success,human_intervention,post_intervention_result
2024-03-15 10:00:00,robot_02,task_arm_motion_087,3.1,42.0,0.02,0.3,0.3,45,0,0,21.0,148.0,48.0,false,false,4.0,rubber_mat,clean,450,NONE,true,false,
2024-03-15 10:01:00,robot_02,task_arm_motion_087,3.2,42.5,0.02,0.4,0.4,46,0,0,22.0,150.0,47.0,false,false,4.0,rubber_mat,clean,452,NONE,true,false,
2024-03-15 10:02:00,robot_02,task_arm_motion_087,3.1,43.0,0.02,0.3,0.3,45,0,0,21.5,149.0,48.0,false,false,4.0,rubber_mat,clean,451,NONE,true,false,
2024-03-15 10:03:00,robot_02,task_arm_motion_087,3.3,43.5,0.03,0.5,0.5,47,0,0,22.5,151.0,47.5,false,false,4.0,rubber_mat,clean,450,NONE,true,false,
2024-03-15 10:04:00,robot_02,task_arm_motion_087,3.2,44.0,0.02,0.4,0.4,46,0,0,22.0,150.0,48.0,false,false,4.0,rubber_mat,clean,449,NONE,true,false,
2024-03-15 10:05:00,robot_02,task_arm_motion_087,3.4,44.5,0.03,0.5,0.5,48,0,0,23.0,152.0,47.0,false,false,4.0,rubber_mat,clean,451,NONE,true,false,
2024-03-15 10:06:00,robot_02,task_arm_motion_087,3.3,45.0,0.03,0.4,0.4,47,0,0,22.5,151.0,48.0,false,false,4.0,rubber_mat,clean,450,NONE,true,false,
2024-03-15 10:07:00,robot_02,task_arm_motion_087,3.5,45.5,0.03,0.6,0.6,49,0,0,23.5,153.0,46.5,false,false,4.0,rubber_mat,clean,448,NONE,true,false,
2024-03-15 10:08:00,robot_02,task_arm_motion_087,3.4,46.0,0.03,0.5,0.5,48,0,0,23.0,152.0,47.0,false,false,4.0,rubber_mat,clean,450,NONE,true,false,
2024-03-15 10:09:00,robot_02,task_arm_motion_087,3.6,46.5,0.04,0.6,0.6,50,0,0,24.0,154.0,46.0,false,false,4.0,rubber_mat,clean,449,NONE,true,false,
2024-03-15 10:10:00,robot_02,task_arm_motion_087,3.5,47.0,0.03,0.5,0.5,49,0,0,23.5,153.0,47.0,false,false,4.0,rubber_mat,clean,450,NONE,true,false,
2024-03-15 10:11:00,robot_02,task_arm_motion_087,3.7,47.5,0.04,0.7,0.7,51,0,0,24.5,155.0,46.0,false,false,4.0,rubber_mat,clean,448,NONE,true,false,
2024-03-15 10:12:00,robot_02,task_arm_motion_087,3.6,48.0,0.04,0.6,0.6,50,0,0,24.0,154.0,47.0,false,false,4.0,rubber_mat,clean,450,NONE,true,false,
2024-03-15 10:13:00,robot_02,task_arm_motion_087,3.8,48.5,0.04,0.7,0.7,52,0,0,25.0,156.0,46.5,false,false,4.0,rubber_mat,clean,449,NONE,true,false,
2024-03-15 10:14:00,robot_02,task_arm_motion_087,3.7,49.0,0.04,0.6,0.6,51,0,0,24.5,155.0,47.0,false,false,4.0,rubber_mat,clean,450,NONE,true,false,
2024-03-15 10:15:00,robot_02,task_arm_motion_087,5.8,58.0,0.12,2.1,2.1,88,2,201,38.0,224.0,45.0,true,false,4.0,rubber_mat,clean,450,FAULT_201,false,false,
2024-03-15 10:16:00,robot_02,task_arm_motion_087,6.3,62.0,0.18,3.5,3.5,112,3,201,44.0,241.0,44.0,true,true,4.0,rubber_mat,clean,450,FAULT_201,false,false,
2024-03-15 10:17:00,robot_02,task_arm_motion_087,7.1,66.0,0.24,4.8,4.8,135,4,201,48.0,258.0,43.0,true,true,4.0,rubber_mat,clean,450,FAULT_201,false,false,
2024-03-15 10:18:00,robot_02,task_arm_motion_087,7.8,70.0,0.31,5.5,5.5,158,5,201,51.0,263.0,42.5,true,true,4.0,rubber_mat,clean,450,FAULT_201,false,false,
2024-03-15 10:19:00,robot_02,task_arm_motion_087,8.2,72.0,0.38,6.2,6.2,182,6,201,52.0,265.0,42.0,true,true,4.0,rubber_mat,clean,450,FAULT_201,false,true,gripper_inspected_by_operator
