block_id,block_size_gb,is_factory_bad,is_runtime_bad,corrected_error_count,uncorrectable_error_count,pe_cycles,max_pe_cycles,retention_hours,min_retention_hours,temperature_C,read_count,write_count,last_scrub_age_hours
B0000,0.25,false,true,0,0,5000,100000,2160,72.0,38.0,12000,5000,24.0
B0001,0.25,false,true,0,0,5100,100000,2160,72.0,38.1,12200,5100,24.5
B0002,0.25,false,true,0,0,5200,100000,2160,72.0,38.2,12400,5200,25.0
B0003,0.25,false,true,0,0,5300,100000,2160,72.0,38.3,12600,5300,25.5
B0004,0.25,false,true,0,0,5400,100000,2160,72.0,38.4,12800,5400,26.0
B0005,0.25,false,true,0,0,5500,100000,2160,72.0,38.5,13000,5500,26.5
B0006,0.25,false,true,0,0,5600,100000,2160,72.0,38.6,13200,5600,27.0
B0007,0.25,false,true,0,0,5700,100000,2160,72.0,38.7,13400,5700,27.5
B0008,0.25,false,false,0,3,8000,100000,2160,72.0,39.0,15000,8000,48.0
B0009,0.25,false,false,0,3,8200,100000,2160,72.0,39.1,15300,8200,49.0
B0010,0.25,false,false,0,3,8400,100000,2160,72.0,39.2,15600,8400,50.0
B0011,0.25,false,false,0,3,8600,100000,2160,72.0,39.3,15900,8600,51.0
B0012,0.25,false,false,150,0,3000,100000,48,72.0,37.0,8000,3000,12.0
B0013,0.25,false,false,152,0,3050,100000,48,72.0,37.2,8100,3050,12.3
B0014,0.25,false,false,154,0,3100,100000,48,72.0,37.4,8200,3100,12.6
B0015,0.25,false,false,156,0,3150,100000,48,72.0,37.6,8300,3150,12.9
B0016,0.25,false,false,158,0,3200,100000,48,72.0,37.8,8400,3200,13.2
B0017,0.25,false,false,160,0,3250,100000,48,72.0,37.0,8500,3250,13.5
B0018,0.25,false,false,162,0,3300,100000,48,72.0,37.2,8600,3300,13.8
B0019,0.25,false,false,164,0,3350,100000,48,72.0,37.4,8700,3350,14.1
B0020,0.25,false,false,166,0,3400,100000,48,72.0,37.6,8800,3400,14.4
B0021,0.25,false,false,168,0,3450,100000,48,72.0,37.8,8900,3450,14.7
B0022,0.25,false,false,170,0,3500,100000,48,72.0,37.0,9000,3500,15.0
B0023,0.25,false,false,172,0,3550,100000,48,72.0,37.2,9100,3550,15.3
B0024,0.25,false,false,174,0,3600,100000,48,72.0,37.4,9200,3600,15.6
B0025,0.25,false,false,176,0,3650,100000,48,72.0,37.6,9300,3650,15.9
B0026,0.25,false,false,178,0,3700,100000,48,72.0,37.8,9400,3700,16.2
B0027,0.25,false,false,180,0,3750,100000,48,72.0,37.0,9500,3750,16.5
B0028,0.25,false,false,20,0,90000,100000,2000,72.0,36.0,200000,90000,168.0
B0029,0.25,false,false,21,0,90100,100000,2005,72.0,36.3,201000,90100,170.0
B0030,0.25,false,false,22,0,90200,100000,2010,72.0,36.6,202000,90200,172.0
B0031,0.25,false,false,23,0,90300,100000,2015,72.0,36.9,203000,90300,174.0
B0032,0.25,false,false,24,0,90400,100000,2020,72.0,36.0,204000,90400,176.0
B0033,0.25,false,false,25,0,90500,100000,2025,72.0,36.3,205000,90500,178.0
B0034,0.25,false,false,26,0,90600,100000,2030,72.0,36.6,206000,90600,180.0
B0035,0.25,false,false,27,0,90700,100000,2035,72.0,36.9,207000,90700,182.0
B0036,0.25,false,false,28,0,90800,100000,2040,72.0,36.0,208000,90800,184.0
B0037,0.25,false,false,29,0,90900,100000,2045,72.0,36.3,209000,90900,186.0
B0038,0.25,false,false,30,0,91000,100000,2050,72.0,36.6,210000,91000,188.0
B0039,0.25,false,false,31,0,91100,100000,2055,72.0,36.9,211000,91100,190.0
B0040,0.25,false,false,15,0,2000,100000,2160,72.0,35.0,5000,2000,24.0
B0041,0.25,false,false,16,0,2020,100000,2160,72.0,35.15,5030,2020,24.4
B0042,0.25,false,false,17,0,2040,100000,2160,72.0,35.3,5060,2040,24.8
B0043,0.25,false,false,18,0,2060,100000,2160,72.0,35.45,5090,2060,25.2
B0044,0.25,false,false,19,0,2080,100000,2160,72.0,35.6,5120,2080,25.6
B0045,0.25,false,false,20,0,2100,100000,2160,72.0,35.75,5150,2100,24.0
B0046,0.25,false,false,21,0,2120,100000,2160,72.0,35.9,5180,2120,24.4
B0047,0.25,false,false,15,0,2140,100000,2160,72.0,36.05,5210,2140,24.8
B0048,0.25,false,false,16,0,2160,100000,2160,72.0,36.2,5240,2160,25.2
B0049,0.25,false,false,17,0,2180,100000,2160,72.0,36.35,5270,2180,25.6
B0050,0.25,false,false,18,0,2200,100000,2160,72.0,35.0,5300,2200,24.0
B0051,0.25,false,false,19,0,2220,100000,2160,72.0,35.15,5330,2220,24.4
B0052,0.25,false,false,20,0,2240,100000,2160,72.0,35.3,5360,2240,24.8
B0053,0.25,false,false,21,0,2260,100000,2160,72.0,35.45,5390,2260,25.2
B0054,0.25,false,false,15,0,2280,100000,2160,72.0,35.6,5420,2280,25.6
B0055,0.25,false,false,16,0,2300,100000,2160,72.0,35.75,5450,2300,24.0
B0056,0.25,false,false,17,0,2320,100000,2160,72.0,35.9,5480,2320,24.4
B0057,0.25,false,false,18,0,2340,100000,2160,72.0,36.05,5510,2340,24.8
B0058,0.25,false,false,19,0,2360,100000,2160,72.0,36.2,5540,2360,25.2
B0059,0.25,false,false,20,0,2380,100000,2160,72.0,36.35,5570,2380,25.6
B0060,0.25,false,false,21,0,2400,100000,2160,72.0,35.0,5600,2400,24.0
B0061,0.25,false,false,15,0,2420,100000,2160,72.0,35.15,5630,2420,24.4
B0062,0.25,false,false,16,0,2440,100000,2160,72.0,35.3,5660,2440,24.8
B0063,0.25,false,false,17,0,2460,100000,2160,72.0,35.45,5690,2460,25.2
B0064,0.25,false,false,18,0,2480,100000,2160,72.0,35.6,5720,2480,25.6
