timestamp,joint_id,motor_current_A,joint_temp_C,imu_vibration_g,position_error_mm,latency_ms,error_count,battery_voltage_V,controller_fault_code
2026-06-09T10:00:00,J3,3.21,42.1,0.012,0.08,12.1,0,24.1,0
2026-06-09T10:05:00,J3,3.25,42.3,0.013,0.09,12.2,0,24.0,0
2026-06-09T10:10:00,J3,3.28,42.8,0.014,0.09,12.3,0,24.1,0
2026-06-09T10:15:00,J3,3.31,43.2,0.015,0.10,12.4,0,24.0,0
2026-06-09T10:20:00,J3,3.35,43.8,0.016,0.11,12.6,1,23.9,0
2026-06-09T10:25:00,J3,3.42,44.5,0.018,0.13,13.1,1,23.9,0
2026-06-09T10:30:00,J3,3.51,45.2,0.021,0.15,13.5,1,23.8,0
2026-06-09T10:35:00,J3,3.58,46.1,0.024,0.18,14.2,2,23.7,0
2026-06-09T10:40:00,J3,3.65,46.8,0.027,0.21,14.8,2,23.7,0
2026-06-09T10:45:00,J3,3.72,47.5,0.031,0.24,15.5,2,23.6,0
2026-06-09T10:50:00,J3,3.80,48.3,0.035,0.28,16.2,3,23.5,201
2026-06-09T10:55:00,J3,3.91,49.1,0.041,0.32,17.1,3,23.4,201
2026-06-09T11:00:00,J3,3.98,50.0,0.045,0.36,18.0,4,23.3,201
2026-06-09T11:05:00,J3,4.05,50.8,0.050,0.40,18.9,4,23.2,201
2026-06-09T11:10:00,J3,4.15,51.5,0.055,0.45,19.8,5,23.1,201
